car_0 , car_1 , car_2
0 ,0 ,0
2.00942 ,3.05927 ,2.67155
2.09562 ,3.3948 ,1.6064
0.839386 ,0.463544 ,0.343543
1.4638 ,0.40874 ,0.327976
0.171959 ,3.06923 ,1.602
0.610701 ,1.77386 ,2.22125
0.509272 ,1.86574 ,0.870069
1.74161 ,0.555508 ,1.70425
0.802392 ,2.35694 ,0.929272
1.49393 ,0.325258 ,1.01291
6.14623 ,4.32248 ,5.07145
3.20003 ,2.01122 ,2.74338
0.175692 ,0.162972 ,0.0364328
0.515327 ,0.719607 ,1.13885
0.665682 ,0.266413 ,0.346845
1.93717 ,1.68659 ,3.51411
2.68155 ,2.22316 ,3.32988
0.102188 ,0.390948 ,0.403557
5.34745 ,8.24398 ,4.1955
2.63186 ,0.835764 ,2.80255
1.13184 ,1.36715 ,1.23967
1.30952 ,2.55615 ,1.23501
0.432574 ,1.22976 ,0.494606
0.317892 ,2.29209 ,0.346948
0.0459107 ,0.752193 ,0.0492437
2.778 ,1.28173 ,2.54871
1.39006 ,0.409772 ,1.4413
5.42649 ,7.92284 ,4.80905
2.79329 ,1.1538 ,2.65036
2.8305 ,2.47069 ,2.47213
0.600744 ,1.29366 ,0.699721
1.41821 ,1.688 ,1.24611
0.225862 ,0.0303361 ,0.390477
1.59926 ,2.51954 ,1.37241
2.02475 ,1.16912 ,1.91093
0.408402 ,0.146363 ,0.373785
0.399528 ,0.577154 ,0.578387
0.295768 ,0.114381 ,0.122248
0.628306 ,0.0254293 ,0.522806
1.95446 ,1.57636 ,2.93215
3.14013 ,2.31929 ,4.08363
3.44016 ,2.00837 ,2.76006
0.08409 ,0.298144 ,0.701791
4.29165 ,3.87105 ,2.50888
1.33504 ,0.306953 ,0.902509
2.69069 ,3.34928 ,3.99281
4.14206 ,3.23342 ,4.2743
1.02508 ,1.32294 ,1.58029
0.873047 ,0.850438 ,1.02812
3.70222 ,3.62819 ,3.7748
5.11662 ,5.21949 ,5.17492
0.550663 ,1.07187 ,0.421149
0.33969 ,0.710587 ,0.410263
1.38183 ,1.08301 ,0.990702
2.24294 ,3.38825 ,2.91825
0.718855 ,0.646715 ,0.127001
3.71093 ,4.74748 ,7.7738
5.01261 ,3.6372 ,5.56562
7.22443 ,6.30408 ,4.36297
2.94093 ,1.7842 ,1.99885
3.31189 ,2.68577 ,2.81525
0.885609 ,0.194119 ,0.664278
0.453405 ,0.629433 ,0.664081
0.616372 ,0.875562 ,1.08035
4.8075 ,4.09988 ,5.22619
1.86736 ,1.77876 ,1.00954
2.26077 ,1.66158 ,1.17518
10.6525 ,9.86223 ,12.9203
0.0775729 ,0.271627 ,0.482632
11.481 ,11.2889 ,7.97185
3.40736 ,3.51843 ,6.45605
3.73886 ,3.56656 ,1.45281
3.35711 ,4.66042 ,4.1338
2.28708 ,1.48428 ,2.85242
1.12816 ,0.403448 ,0.275273
0.928118 ,1.19265 ,1.13171
1.86585 ,2.15741 ,2.48008
5.4847 ,4.17559 ,3.6651
12.2716 ,10.8849 ,12.069
0.236713 ,0.211947 ,0.562468
1.32237 ,1.10402 ,0.383447
1.79968 ,2.29442 ,3.54805
2.44936 ,1.76972 ,3.95461
2.06043 ,1.4814 ,0.694449
1.43431 ,0.607857 ,2.47798
3.4207 ,5.48774 ,6.32535
0.982549 ,2.23257 ,0.593572
3.99548 ,4.36986 ,1.66562
1.03 ,1.94577 ,1.29776
4.06385 ,5.13984 ,4.14941
0.357178 ,0.363574 ,0.304412
5.34867 ,2.94596 ,4.10981
0.0801713 ,0.242506 ,0.39184
0.907213 ,1.35622 ,2.36233
1.82658 ,1.25463 ,2.56655
1.92643 ,0.99139 ,1.93066
0.887305 ,0.487112 ,0.521933
2.39654 ,1.97659 ,0.423871
0.365264 ,0.832492 ,0.893227
1.52153 ,2.65046 ,1.62216
1.6267 ,1.48339 ,8.46272
5.73169 ,6.47928 ,0.955993
0.272856 ,0.47388 ,1.736
2.9149 ,2.5734 ,8.89561
1.69344 ,2.66074 ,1.96332
0.146925 ,0.0264697 ,2.51813
1.15534 ,0.245192 ,1.66473
0.693435 ,0.950268 ,3.15236
2.40166 ,0.722859 ,0.829331
1.14809 ,0.730093 ,0.943413
0.331751 ,1.75869 ,2.17531
6.59213 ,1.73101 ,1.87363
4.55786 ,0.703169 ,1.96392
9.01543 ,3.16366 ,4.01254
6.26095 ,2.73731 ,6.45326
4.07193 ,4.74992 ,1.66897
4.19322 ,2.90635 ,1.24494
11.9661 ,4.1308 ,8.82326
4.11546 ,0.801971 ,4.20243
4.67886 ,3.70812 ,1.8946
2.03948 ,2.48876 ,0.605798
1.91345 ,0.614529 ,1.88953
2.74671 ,0.522565 ,1.08344
2.31568 ,2.287 ,0.934471
2.20754 ,0.391349 ,1.38236
2.23182 ,0.747076 ,0.831251
0.826784 ,2.90355 ,2.16038
7.02911 ,3.29112 ,4.91205
0.0997039 ,1.32985 ,0.814762
2.48475 ,1.82051 ,1.10606
0.127803 ,0.815844 ,0.149592
0.247808 ,1.78911 ,0.074964
0.951733 ,0.371875 ,0.788785
1.95875 ,7.92973 ,1.76393
2.03061 ,0.0349357 ,1.73082
1.12038 ,3.75326 ,0.995645
4.76855 ,1.43115 ,4.32127
0.692024 ,2.52587 ,0.865475
1.27131 ,2.47328 ,0.957609
0.223013 ,1.00431 ,0.0481172
1.13733 ,4.13218 ,1.09908
1.90659 ,0.503325 ,2.28919
2.6781 ,5.12467 ,4.22965
3.97678 ,2.73454 ,2.39449
3.87352 ,1.33683 ,2.00745
3.82822 ,4.1799 ,1.86565
2.09401 ,5.02151 ,2.06386
2.66103 ,2.2312 ,0.637058
1.3546 ,1.3119 ,0.502894
3.02622 ,2.87398 ,1.44429
0.345028 ,1.73955 ,0.971399
4.18146 ,1.46172 ,3.87442
1.72762 ,1.32732 ,2.11823
11.9286 ,10.5114 ,7.68752
1.19525 ,1.54924 ,0.107173
1.925 ,0.29687 ,2.03419
0.38565 ,0.234967 ,0.977823
2.16505 ,2.38036 ,0.578037
1.41107 ,0.861893 ,0.23957
3.82015 ,1.90669 ,2.72568
0.0477288 ,0.213435 ,0.274574
1.96959 ,0.891216 ,0.661103
0.597607 ,0.240367 ,0.0795591
1.57359 ,0.671084 ,0.552464
0.480409 ,1.35766 ,1.10287
1.94631 ,1.74226 ,1.7538
0.147781 ,0.265824 ,0.105767
1.23457 ,0.219345 ,0.74026
0.600866 ,0.0574578 ,0.272551
6.1404 ,3.81916 ,4.81062
3.99996 ,6.06862 ,4.9861
2.72435 ,2.74516 ,2.10837
1.72241 ,2.80115 ,2.20222
5.61077 ,4.76274 ,4.23065
4.55662 ,5.05012 ,3.98804
3.63416 ,4.45946 ,4.96835
1.95952 ,2.66073 ,2.55462
5.24847 ,5.55044 ,5.45346
0.0339273 ,0.175606 ,0.0573752
0.0323257 ,0.193055 ,0.00501539
0.131038 ,0.620422 ,0.225371
0.290266 ,0.300205 ,0.349249
2.59388 ,3.17791 ,2.40125
7.30439 ,6.73293 ,6.54983
3.29733 ,2.92537 ,2.47366
1.30454 ,2.54912 ,0.735214
1.92703 ,1.88834 ,2.91854
0.988381 ,1.5693 ,1.00015
0.361538 ,0.539794 ,0.50226
0.494021 ,0.221879 ,0.748494
4.57645 ,7.34145 ,4.17953
0.551041 ,0.311503 ,0.678087
0.953915 ,0.231127 ,1.32847
1.13417 ,1.77482 ,1.02306
3.29966 ,2.02172 ,3.6111
0.051317 ,0.36185 ,0.0422088
0.29599 ,0.236049 ,0.290504
0.281448 ,0.374513 ,0.307583
2.33351 ,2.04553 ,2.25376
1.77726 ,0.673064 ,1.46196
1.52791 ,0.928716 ,0.996356
9.72887 ,11.6161 ,10.5962
1.30017 ,0.634975 ,1.14879
4.02598 ,3.6014 ,3.28094
1.43989 ,0.492022 ,1.1873
0.80786 ,1.16898 ,0.386407
1.25572 ,1.99552 ,0.549534
0.469179 ,2.01486 ,1.13906
7.03428 ,5.09614 ,4.50177
0.44118 ,2.00552 ,0.272041
2.83561 ,5.03158 ,4.26815
5.88209 ,4.8033 ,7.28374
0.528224 ,0.734898 ,1.04773
1.90846 ,2.56431 ,2.24238
1.7789 ,1.90228 ,1.47397
0.470949 ,0.755204 ,0.32053
3.11466 ,3.75833 ,3.59699
5.00032 ,5.0204 ,4.64587
1.98131 ,1.40326 ,2.0141
0.956121 ,1.48234 ,0.832342
1.97716 ,2.64319 ,1.31323
2.7894 ,2.71159 ,3.86192
0.993728 ,0.245181 ,0.874209
1.01032 ,2.30862 ,0.563972
3.11723 ,5.94441 ,2.2828
1.90617 ,1.35934 ,1.02405
0.348721 ,1.94471 ,0.998261
0.0676663 ,0.891192 ,0.567239
1.12128 ,1.40267 ,0.318796
2.78492 ,1.39561 ,4.47428
0.984084 ,2.37107 ,1.35027
1.79996 ,2.16532 ,2.0139
3.68369 ,4.44021 ,3.20986
2.43671 ,5.39559 ,2.63748
2.5014 ,4.32731 ,2.82888
4.14851 ,3.87916 ,3.81818
0.316963 ,0.255358 ,0.508998
2.61575 ,6.84632 ,2.21473
2.15204 ,1.26022 ,2.08969
3.12002 ,3.75679 ,3.86106
2.53316 ,5.73491 ,1.99206
0.674414 ,2.73055 ,0.30365
1.03861 ,0.458576 ,1.45603
3.30882 ,1.66826 ,3.89177
4.60804 ,3.31407 ,5.03538
0.060301 ,0.0370545 ,0.0393884
1.8134 ,1.43376 ,1.7459
5.4247 ,5.69263 ,5.69598
1.48595 ,1.31095 ,1.42025
3.09631 ,3.81431 ,3.00385
0.699271 ,0.958519 ,0.616331
2.6275 ,2.81824 ,2.80166
3.7359 ,3.50817 ,4.11322
0.302649 ,0.703817 ,0.370719
1.13431 ,1.18049 ,1.20881
5.97108 ,4.31615 ,5.77924
0.884119 ,1.4694 ,0.99533
0.80946 ,0.98226 ,0.744894
0.925155 ,1.89368 ,0.857785
3.6391 ,4.8708 ,3.15145
1.78468 ,4.24084 ,1.65209
1.39163 ,1.48124 ,1.13658
4.93073 ,4.63304 ,5.69788
2.34953 ,0.688959 ,2.43739
2.46437 ,1.20148 ,2.37491
1.74731 ,1.02441 ,1.64766
6.81305 ,4.99998 ,6.63464
1.67062 ,3.29071 ,2.09196
6.15395 ,7.79577 ,6.52433
2.37659 ,1.57352 ,2.29144
1.64758 ,2.0256 ,1.66409
0.34842 ,0.17238 ,0.316109
0.688763 ,0.179431 ,0.714058
0.198254 ,0.411342 ,0.179051
3.14988 ,2.20483 ,3.08056
6.09893 ,7.20023 ,6.42976
1.66124 ,1.50755 ,1.63034
0.598814 ,1.02823 ,0.568086
0.134363 ,0.247974 ,0.135091
3.71896 ,2.86274 ,3.73148
0.339534 ,0.438535 ,0.362027
1.41109 ,1.64715 ,1.48762
1.25003 ,1.4707 ,1.22701
0.332622 ,0.184561 ,0.389366
1.46973 ,1.73833 ,1.37455
4.06333 ,3.47455 ,4.25227
0.474095 ,0.589212 ,0.516122
0.0387524 ,0.0291049 ,0.0370107
0.836799 ,0.908472 ,0.763644
0.59435 ,0.507679 ,0.685785
0.52769 ,0.645073 ,0.550104
0.571221 ,0.780364 ,0.552909
2.14977 ,1.90542 ,2.33365
0.607437 ,0.752969 ,0.617349
0.136421 ,0.402811 ,0.087647
4.1006 ,4.51859 ,4.05523
0.0248737 ,0.0284188 ,0.0664706
1.95392 ,1.83219 ,2.06449
0.713914 ,1.22461 ,0.745806
