car_0 , car_1 , car_2
21.9839 ,32.2942 ,1.98088
2.60098 ,2.28494 ,1.7477
1.34832 ,3.38222 ,2.75116
1.29903 ,1.67167 ,2.08468
0.475987 ,0.697097 ,1.96624
3.23192 ,1.81714 ,3.47081
5.14272 ,1.32412 ,1.27566
0.032913 ,1.08248 ,1.1966
7.48862 ,7.39952 ,6.06504
0.335645 ,0.865384 ,1.39716
3.76382 ,4.38278 ,4.21681
3.64873 ,2.19176 ,2.83869
0.0967606 ,0.57695 ,1.13507
8.25674 ,5.97391 ,2.04689
3.3978 ,4.31729 ,4.69392
1.87615 ,1.02122 ,2.5438
1.41312 ,0.850608 ,1.49416
0.842398 ,0.907385 ,1.56026
3.38264 ,2.28532 ,4.49281
3.93968 ,3.68082 ,2.83759
5.71183 ,5.67451 ,6.03798
3.05445 ,2.42627 ,1.12682
1.58312 ,1.66862 ,3.35349
0.290796 ,0.0960438 ,1.73878
1.38274 ,1.45254 ,1.76123
2.04759 ,2.03771 ,2.81776
1.22503 ,1.42774 ,2.35479
1.82742 ,2.86787 ,2.15062
3.46369 ,2.67547 ,5.87998
3.2351 ,3.02818 ,4.03438
3.13734 ,5.95954 ,1.84336
0.0742198 ,0.647587 ,0.272665
0.602149 ,0.38883 ,1.42214
2.88828 ,2.58197 ,4.98032
0.650595 ,0.702459 ,0.569829
0.998229 ,0.866545 ,3.10676
4.72329 ,4.48355 ,6.31261
6.32905 ,7.92226 ,5.10247
8.24974 ,7.96232 ,6.44954
7.88718 ,6.38176 ,7.52764
4.94966 ,5.24869 ,7.97834
1.70649 ,1.22013 ,1.46649
1.23306 ,1.1408 ,2.08526
2.42913 ,2.57273 ,4.49605
1.51489 ,1.68759 ,1.07265
6.66899 ,7.14408 ,10.8269
7.5171 ,7.91516 ,5.52631
1.72361 ,1.94628 ,3.41199
4.76977 ,3.86906 ,4.04057
1.15476 ,1.25796 ,3.38764
2.82323 ,2.13407 ,4.11634
1.14794 ,0.930318 ,2.80707
2.70934 ,2.44906 ,2.82932
0.533847 ,0.434205 ,0.360334
3.13102 ,3.82446 ,3.91874
1.04216 ,1.48161 ,0.944845
2.20215 ,5.21509 ,6.98575
7.14697 ,3.71442 ,6.87802
4.14142 ,5.24878 ,2.5926
3.16965 ,2.71701 ,1.49125
4.84538 ,4.6964 ,4.62902
0.875341 ,1.28496 ,1.52135
0.711274 ,1.3487 ,1.81039
1.80986 ,2.92129 ,2.41308
1.19125 ,0.82137 ,2.12437
2.87779 ,2.89331 ,5.71227
0.607837 ,0.239401 ,1.40611
0.245072 ,0.143803 ,0.478288
1.11136 ,2.01597 ,0.965249
3.33492 ,1.27608 ,4.88989
1.5945 ,2.93967 ,1.6712
1.44582 ,0.128787 ,1.12231
5.09719 ,8.46023 ,5.89881
1.61673 ,0.317437 ,1.62804
11.5938 ,9.24252 ,11.1858
6.3623 ,5.26649 ,5.92933
7.31997 ,4.55567 ,6.28011
4.31154 ,2.17819 ,3.35398
0.309276 ,0.922813 ,0.618698
1.94029 ,2.86156 ,3.89863
18.351 ,14.8882 ,13.4525
0.0898836 ,0.168995 ,1.07041
2.86126 ,1.61223 ,1.89384
7.04891 ,9.08858 ,7.9462
5.39784 ,5.81538 ,7.33944
1.85801 ,1.21994 ,1.1295
3.7843 ,2.63529 ,3.96546
4.91255 ,4.42901 ,4.51166
6.6008 ,5.31001 ,7.04012
3.83717 ,3.01087 ,4.05722
2.32405 ,2.3046 ,2.29773
9.6187 ,9.07544 ,11.2862
1.29 ,1.30047 ,1.30732
3.9712 ,4.57686 ,4.96156
1.82579 ,1.45611 ,2.14673
1.69785 ,1.95109 ,2.07578
0.26761 ,0.224056 ,2.70621
3.0465 ,2.61967 ,13.0132
9.34103 ,9.86909 ,43.21
3.51639 ,2.72292 ,22.6968
2.73623 ,1.42964 ,8.71351
3.34895 ,8.63075 ,21.0622
2.81193 ,0.425446 ,2.03165
6.98037 ,2.8042 ,7.28323
